NAME   PROPERTY                       VALUE                          SOURCE
test1  size                           480M                           -
test1  capacity                       7%                             -
test1  altroot                        -                              default
test1  health                         ONLINE                         -
test1  guid                           1208694192677408881            -
test1  version                        -                              default
test1  bootfs                         -                              default
test1  delegation                     on                             default
test1  autoreplace                    off                            default
test1  cachefile                      -                              default
test1  failmode                       wait                           default
test1  listsnapshots                  off                            default
test1  autoexpand                     off                            default
test1  dedupratio                     1.00x                          -
test1  free                           444M                           -
test1  allocated                      36.0M                          -
test1  readonly                       off                            -
test1  ashift                         0                              default
test1  comment                        -                              default
test1  expandsize                     -                              -
test1  freeing                        0                              -
test1  fragmentation                  0%                             -
test1  leaked                         0                              -
test1  multihost                      off                            default
test1  checkpoint                     -                              -
test1  load_guid                      14539764335586081023           -
test1  autotrim                       off                            default
test1  compatibility                  off                            default
test1  bcloneused                     0                              -
test1  bclonesaved                    0                              -
test1  bcloneratio                    1.00x                          -
test1  feature@async_destroy          enabled                        local
test1  feature@empty_bpobj            active                         local
test1  feature@lz4_compress           active                         local
test1  feature@multi_vdev_crash_dump  enabled                        local
test1  feature@spacemap_histogram     active                         local
test1  feature@enabled_txg            active                         local
test1  feature@hole_birth             active                         local
test1  feature@extensible_dataset     active                         local
test1  feature@embedded_data          active                         local
test1  feature@bookmarks              enabled                        local
test1  feature@filesystem_limits      enabled                        local
test1  feature@large_blocks           enabled                        local
test1  feature@large_dnode            enabled                        local
test1  feature@sha512                 enabled                        local
test1  feature@skein                  enabled                        local
test1  feature@edonr                  enabled                        local
test1  feature@userobj_accounting     active                         local
test1  feature@encryption             enabled                        local
test1  feature@project_quota          active                         local
test1  feature@device_removal         enabled                        local
test1  feature@obsolete_counts        enabled                        local
test1  feature@zpool_checkpoint       enabled                        local
test1  feature@spacemap_v2            active                         local
test1  feature@allocation_classes     enabled                        local
test1  feature@resilver_defer         enabled                        local
test1  feature@bookmark_v2            enabled                        local
test1  feature@redaction_bookmarks    enabled                        local
test1  feature@redacted_datasets      enabled                        local
test1  feature@bookmark_written       enabled                        local
test1  feature@log_spacemap           active                         local
test1  feature@livelist               enabled                        local
test1  feature@device_rebuild         enabled                        local
test1  feature@zstd_compress          enabled                        local
test1  feature@draid                  enabled                        local
test1  feature@zilsaxattr             enabled                        local
test1  feature@head_errlog            active                         local
test1  feature@blake3                 enabled                        local
test1  feature@block_cloning          enabled                        local
test1  feature@vdev_zaps_v2           active                         local
